x,y,circle
2375,1718,1
2392,2361,1
2855,2689,1
3448,2546,1
3678,2181,1
3645,1738,1
3313,1390,1
2658,1319,1
2301,1468,2
2157,2277,2
2635,2815,2
3409,2802,2
3790,2407,2
3873,1851,2
3567,1327,2
2780,1153,2
2282,1264,3
1975,2170,3
2434,2874,3
3333,2995,3
3449,2612,3
4040,1978,3
3777,1317,3
2896,980,3
2287,1119,4
1862,2081,4
2293,2906,4
3268,3122,4
3872,2751,4
4140,2079,4
3916,1328,4
2987,868,4
